time(UTC),Year,Month,Day,Hour(UTC),Hour Taxila,G(h),Gd(h),T2m,RH,Gb(n),IR(h),WS10m,WD10m,SP,,,,,,
20050101:0000,2005,01,01,00,5,0,0,8,78.14,0,379.11,2.37,83,94150,,,,,Latitude (decimal degrees): 33.747,
20050101:0100,2005,01,01,01,6,0,0,8,77.99,0,386.86,2.36,96,94180,,,,,Longitude (decimal degrees): 72.807,
20050101:0200,2005,01,01,02,7,0,0,8.01,77.83,0,394.62,2.34,108,94250,,,,,Elevation (m): 513.0,
20050101:0300,2005,01,01,03,8,20.8,20.8,8.02,77.68,0,402.37,2.33,120,94370,,,,,Irradiance Time Offset (h): 0.5,
20050101:0400,2005,01,01,04,9,31.55,31.55,8.03,77.52,0,410.13,2.32,131,94500,,,,,month,year
20050101:0500,2005,01,01,05,10,45.65,45.65,8.04,77.37,0,417.89,2.31,126,94620,,,,,1,2005
20050101:0600,2005,01,01,06,11,62.15,62.15,8.05,77.21,0,425.64,2.29,2,94720,,,,,2,2017
20050101:0700,2005,01,01,07,12,57.85,57.85,8.06,77.05,0,433.4,2.28,11,94670,,,,,3,2009
20050101:0800,2005,01,01,08,13,113.2,113.1,8.64,82.85,0.19,341.95,2.62,23,94640,,,,,4,2015
20050101:0900,2005,01,01,09,14,124.3,116.05,8.85,82.85,17.74,341.55,3.1,31,94580,,,,,5,2021
20050101:1000,2005,01,01,10,15,88.9,58.85,9.01,76.95,85.36,335.95,3.1,27,94560,,,,,6,2014
20050101:1100,2005,01,01,11,16,34.3,22.8,9.39,71.5,57.44,335.55,2.83,18,94570,,,,,7,2016
20050101:1200,2005,01,01,12,17,0.3,0.3,9.09,74.15,0,330.55,2.55,6,94560,,,,,8,2005
20050101:1300,2005,01,01,13,18,0,0,8.01,79.7,0,297.45,2.55,359,94560,,,,,9,2005
20050101:1400,2005,01,01,14,19,0,0,8.01,79.7,0,323.55,2.28,353,94570,,,,,10,2021
20050101:1500,2005,01,01,15,20,0,0,8.08,79.7,0,333.25,2.14,348,94600,,,,,11,2007
20050101:1600,2005,01,01,16,21,0,0,8.02,79.7,0,330.15,2.14,344,94620,,,,,12,2023
20050101:1700,2005,01,01,17,22,0,0,7.99,79.7,0,331.9,2.14,343,94600,,,,,,
20050101:1800,2005,01,01,18,23,0,0,7.86,79.7,0,327.85,2,345,94580,,,,,,
20050101:1900,2005,01,01,19,0,0,0,7.67,82.7,0,321.05,1.93,335,94560,,,,,,
20050101:2000,2005,01,01,20,1,0,0,7.56,85.8,0,320.65,1.79,331,94530,,,,,,
20050101:2100,2005,01,01,21,2,0,0,7.41,85.8,0,320.3,1.59,336,94490,,,,,,
